PERNOD RICARD SA;L'OREAL;VINCI SA;BANCO BILBAO VIZCAYA ARGENTA;BANCO SANTANDER SA;ASML HOLDING NV;KONINKLIJKE PHILIPS NV;TELEFONICA SA;TOTAL SE;AIR LIQUIDE SA;AXA SA;BNP PARIBAS;DANONE;VIVENDI SE;ESSILORLUXOTTICA;LVMH MOET HENNESSY LOUIS VUI;KERING;AMADEUS IT GROUP SA;SAFRAN SA;KONINKLIJKE AHOLD DELHAIZE N;UNILEVER PLC;IBERDROLA SA;ING GROEP NV;LINDE PLC;INDUSTRIA DE DISENO TEXTIL;INTESA SANPAOLO;ENI SPA;ENGIE;ORANGE;ANHEUSER-BUSCH INBEV SA/NV;SANOFI;SOCIETE GENERALE SA;ENEL SPA;NOKIA OYJ;SCHNEIDER ELECTRIC SE;ALLIANZ SE-REG;AIRBUS SE;BAYER AG-REG;BAYERISCHE MOTOREN WERKE AG;CRH PLC;BASF SE;SIEMENS AG-REG;VOLKSWAGEN AG-PREF;MUENCHENER RUECKVER AG-REG;FRESENIUS SE & CO KGAA;SAP SE;ADIDAS AG;DEUTSCHE TELEKOM AG-REG;DEUTSCHE POST AG-REG;MERCEDES-BENZ GROUP AG;DEUTSCHE BOERSE AG
155.75;241.9;89.32;5.377;4.488;184.74;36.18;7.463;49.345;107.9545454545454;23.65;46.9;71.56;25.85;107.85;346.45;529.4;70.44;129.35;21.28;53.2;8.044;11.316;159.15;26.95;2.285;15.342;13.12;14.365;78.28;76.2;27.7;5.585;4.7735;76.34;213.85;121.86;61.54;76.2;29.35;72.82;105.3;155.76;223.5;50.82;114.34;229.2;14.96;31.025;58.3;117.35
156.45;242.9;89.2;5.415;4.5195;185.08;37.01;7.51;48.595;107.2727272727273;23.68;47.665;71.62;25.99;108.65;345.35;525.0;70.28;129.1;21.245;53.4;7.934;11.382;158.5;26.5;2.332;15.098;13.025;14.385;78.79;77.49;28.43;5.553;4.7595;76.76;213.9;123.02;59.38;75.89;29.75;72.48;105.86;156.2;221.8;51.56;115.0;228.6;14.95;30.92;58.14;116.95
155.35;245.1;90.02;5.418;4.5115;185.54;37.965;7.432;49.545;107.7727272727273;23.745;47.45;72.08;25.87;108.5;349.05;527.0;70.92;129.9;21.46;54.0;8.098;11.356;160.4;26.97;2.337;15.218;13.205;13.965;79.26;77.49;28.22;5.639;4.679;75.46;214.8;121.88;59.34;75.9;29.93;72.49;106.74;155.04;223.0;50.58;114.58;229.1;14.914;30.9;58.34;118.9
154.35;238.7;89.18;5.349;4.4345;184.06;37.64;7.321;49.38;107.7272727272727;22.63;48.0;71.82;25.79;106.9;351.0;520.2;67.94;126.9;21.255;53.4;7.946;11.3;159.6;26.18;2.327;15.034;13.21;14.105;78.75;77.03;28.38;5.577;4.594;73.96;214.8;119.98;61.57;75.8;30.34;72.33;105.34;160.74;212.8;50.75;113.1;228.9;14.99;31.035;58.61;118.75
155.2;241.3;88.38;5.336;4.4085;185.4;37.76;7.293;49.17;107.7727272727273;23.07;48.255;72.46;25.56;106.5;355.05;526.0;67.62;126.95;21.345;53.6;7.976;11.242;160.45;26.29;2.322;15.088;13.255;13.93;78.83;77.62;28.7;5.595;4.582;74.5;215.05;119.56;61.87;75.67;30.53;72.87;105.76;160.28;212.6;51.43;113.66;249.8;14.918;30.86;58.54;118.85
155.0;240.4;87.54;5.279;4.3455;182.2;37.195;7.288;47.99;107.0909090909091;22.815;47.885;72.44;25.42;107.3;344.4;513.0;66.5;127.05;21.345;53.6;8.006;11.038;159.9;26.05;2.2895;14.872;13.165;13.88;78.55;76.71;28.18;5.561;4.555;73.54;212.45;119.7;61.13;74.0;30.38;69.0;104.6;157.62;211.7;50.23;112.5;252.8;14.894;30.32;57.34;120.4
154.9;236.1;86.62;5.144;4.2495;179.48;36.99;7.221;46.705;105.1818181818182;22.505;46.875;69.86;25.12;105.8;335.05;507.2;65.34;124.55;21.22;53.4;8.022;10.81;155.25;25.48;2.242;14.49;13.155;13.91;75.75;76.23;27.085;5.602;4.4655;72.54;210.1;117.54;59.61;72.28;29.44;66.45;102.48;154.42;210.5;49.375;110.06;250.0;14.862;29.49;56.62;121.05
157.05;238.3;86.64;5.2;4.25;181.36;37.2;7.18;46.98;104.9090909090909;22.345;46.82;70.02;25.41;106.95;339.6;515.7;67.62;124.25;20.95;53.6;7.914;10.75;156.8;25.43;2.216;14.48;13.135;13.95;75.92;76.33;26.9;5.576;4.453;72.82;209.0;118.8;59.65;71.38;29.26;66.73;107.16;154.58;208.4;50.3;111.1;256.55;14.93;29.185;57.3;120.65
154.4;235.8;85.22;5.094;4.1475;174.06;36.78;7.119;46.605;102.8181818181818;22.11;45.42;69.46;24.88;106.0;331.85;501.6;65.94;122.4;20.93;53.0;7.88;10.43;152.7;25.15;2.1645;14.324;12.995;13.885;74.19;73.38;26.285;5.519;4.364;71.28;198.82;116.8;57.07;69.3;28.62;65.52;105.28;151.5;207.5;50.52;110.08;249.85;14.846;28.83;55.65;117.3
153.6;235.0;85.84;5.078;4.1215;175.32;37.175;7.107;46.87;103.2272727272727;22.1;45.49;69.82;24.76;110.2;333.55;507.1;66.34;123.05;20.58;52.8;7.992;10.442;159.0;25.19;2.1595;14.266;13.12;13.73;74.11;72.72;26.09;5.551;4.342;71.3;198.84;117.5;57.54;68.87;28.53;65.23;107.02;150.32;210.1;50.44;110.24;252.0;14.914;28.77;53.89;118.25
152.95;235.7;85.08;4.9825;4.0645;171.0;35.75;7.024;46.865;103.0;21.955;44.78;69.68;24.62;110.35;323.75;491.0;65.58;120.2;20.555;53.4;8.062;10.236;158.85;24.95;2.118;14.422;13.195;13.52;73.26;72.96;25.51;5.507;4.271;70.02;196.84;115.52;56.47;68.06;28.05;63.15;104.78;147.54;208.4;48.95;109.9;245.8;14.64;28.33;52.12;118.0
154.4;237.3;87.0;5.083;4.104;176.3;36.085;7.111;47.4;104.7272727272727;22.15;45.48;69.94;24.78;109.0;334.3;508.5;68.08;121.4;20.515;53.0;8.114;10.314;162.05;25.12;2.15;14.604;13.44;13.66;74.17;73.4;25.795;5.575;4.2685;71.92;200.4;119.0;55.33;67.88;28.41;63.14;106.04;149.02;211.8;48.745;111.92;250.45;14.868;28.73;52.75;120.8
155.5;239.7;88.38;5.091;4.107;179.24;36.02;7.15;47.73;104.5454545454545;22.245;45.255;70.06;24.84;108.55;337.15;516.6;68.74;124.3;20.77;53.6;8.192;10.086;162.1;25.3;2.1315;14.518;13.61;13.65;74.67;73.82;25.63;5.574;4.2325;72.16;201.65;120.88;56.45;70.0;28.61;63.57;106.68;149.12;215.5;48.94;112.96;253.1;14.866;28.92;54.3;121.4
158.9;244.5;89.2;5.192;4.1915;181.62;36.94;7.217;48.605;107.4545454545455;22.61;45.95;71.16;24.98;109.95;341.2;521.9;70.24;126.15;20.85;54.0;8.214;10.252;168.5;25.72;2.1835;14.75;13.82;13.78;75.41;75.04;25.995;5.59;4.4075;73.26;206.65;122.5;57.29;69.8;29.02;64.6;108.66;148.1;219.3;49.01;116.08;251.45;15.206;28.405;54.0;121.65
160.55;243.6;89.48;5.152;4.159;182.82;36.435;7.176;49.17;107.3636363636363;22.605;45.375;71.2;24.9;109.95;340.85;522.0;70.82;125.75;20.99;54.4;8.18;10.114;169.55;25.39;2.1705;14.84;13.58;13.825;74.3;75.23;25.715;5.629;4.444;72.68;204.35;121.0;56.95;66.16;28.72;63.56;107.42;147.14;219.0;48.81;114.6;255.5;15.21;28.07;53.36;122.35
158.8;241.2;88.92;5.074;4.093;171.32;36.18;7.177;49.225;102.8636363636364;22.415;44.625;70.54;24.56;108.45;330.05;503.2;69.78;124.8;21.09;53.8;8.174;9.957;166.3;24.95;1.978;14.416;13.555;13.96;72.97;74.34;25.085;5.69;4.492;72.22;201.7;119.08;55.8;64.81;28.57;61.93;105.5;144.82;216.4;46.965;111.9;251.0;15.286;27.74;52.02;122.0
160.8;241.3;89.4;5.117;4.0975;173.74;36.04;7.202;49.765;103.0454545454545;22.58;44.995;71.2;24.65;107.15;335.15;510.1;69.72;123.15;20.72;53.8;8.16;10.056;167.05;25.17;1.977;14.54;12.835;13.885;72.87;73.95;25.24;5.771;4.5735;73.18;204.45;118.26;56.07;64.63;28.7;62.22;107.22;144.7;217.9;47.15;113.76;257.75;15.118;27.87;52.12;121.9
161.9;243.1;89.42;5.026;4.0515;172.86;36.295;7.228;49.005;104.2727272727273;22.435;44.51;71.02;24.55;106.8;336.3;508.5;71.22;123.5;20.46;54.6;8.3;9.898;169.75;25.29;1.9416;14.418;12.82;13.87;73.43;74.9;25.025;5.762;4.5895;73.12;202.9;118.22;55.85;64.23;28.89;62.04;106.54;144.3;218.2;47.725;115.68;263.05;15.09;27.64;50.83;124.25
161.75;242.1;88.42;4.9735;4.006;170.36;35.785;7.184;47.39;102.2727272727273;22.155;43.65;70.8;23.57;105.9;334.0;491.2;70.06;119.35;20.23;54.2;8.264;9.699;166.5;24.79;1.903;13.92;12.55;13.78;73.7;74.9;24.6;5.68;4.4055;71.9;199.8;114.88;54.21;63.39;28.35;60.56;103.7;142.0;215.5;47.27;113.18;259.8;15.046;27.025;47.33;123.35
162.8;243.2;90.04;5.024;4.02;170.4;36.12;7.204;47.555;103.3636363636364;22.305;43.905;71.8;23.6;106.1;336.5;482.7;69.96;121.9;20.43;54.8;8.45;9.756;167.5;24.93;1.9188;14.054;12.62;13.95;73.53;75.16;24.655;5.789;4.473;73.9;202.0;116.54;53.9;63.47;28.27;60.73;105.22;142.86;219.2;47.51;113.62;259.25;15.07;27.01;47.43;125.5
163.05;244.5;90.44;5.036;4.036;172.86;36.045;7.243;47.85;104.0454545454545;22.38;44.2;71.96;23.4;106.2;338.65;485.95;69.9;121.8;20.51;54.4;8.496;9.774;169.2;25.06;1.9082;14.07;12.75;14.02;74.29;75.57;23.045;5.771;4.5505;73.84;202.8;116.84;54.67;63.76;28.37;60.99;105.3;144.06;219.7;47.69;113.72;261.85;15.216;27.05;47.7;125.0
162.5;243.5;89.6;5.047;4.0165;172.16;36.065;7.252;47.52;102.7272727272727;22.195;44.285;72.26;23.63;104.0;342.6;479.25;68.98;119.25;20.565;54.6;8.476;9.82;165.45;25.14;1.887;14.026;12.7;14.03;73.96;74.24;22.595;5.771;4.521;73.68;201.65;116.32;55.43;63.84;28.25;59.89;105.3;144.84;219.4;47.75;113.16;264.05;15.26;26.615;47.68;124.1
160.75;240.3;88.08;4.9965;4.0;168.8;35.52;7.19;46.835;101.7727272727273;22.06;41.325;71.4;23.65;103.2;338.2;461.1;67.46;117.15;20.29;54.4;8.44;9.718;163.7;24.87;1.8658;13.734;12.52;13.935;72.58;73.26;22.55;5.639;4.421;71.24;199.08;114.38;53.91;63.15;27.91;59.57;102.84;143.28;215.7;46.34;111.2;258.6;15.164;26.53;47.23;123.6
161.8;241.9;88.82;5.075;4.05;170.98;35.94;7.216;46.84;102.6818181818182;22.17;41.35;71.84;24.1;103.65;341.65;474.55;68.94;118.1;20.23;54.6;8.418;9.76;165.0;24.96;1.8652;13.692;12.5;14.045;74.0;73.19;22.565;5.557;;71.62;201.35;115.24;54.3;63.05;28.43;59.82;103.12;143.22;219.3;46.105;112.0;258.25;15.204;26.725;47.3;125.35
157.8;240.4;88.46;4.8675;3.952;169.3;35.45;7.178;46.64;101.3636363636364;22.08;40.875;71.4;24.13;103.15;338.6;465.95;68.36;117.7;20.135;53.8;8.314;9.695;162.3;24.05;1.8338;13.58;12.45;14.04;72.61;72.24;22.46;5.57;4.48;70.8;198.86;114.86;52.82;62.02;27.99;59.06;101.44;139.5;216.1;45.41;110.42;256.2;15.11;26.38;46.435;123.75
159.0;241.5;88.94;4.862;3.94;169.4;35.69;7.195;46.71;102.5909090909091;21.8;40.815;72.96;24.41;105.0;340.5;466.55;68.16;119.05;20.065;54.4;8.426;9.602;164.3;24.43;1.826;13.82;12.515;14.15;73.02;73.75;22.395;5.614;4.4565;71.86;199.16;117.16;53.88;61.64;27.98;59.15;102.42;140.06;217.1;45.91;111.22;259.2;15.224;26.475;46.655;123.35
156.3;239.8;89.24;5.01;4.0415;168.52;35.22;7.317;47.22;103.9090909090909;22.29;41.995;71.82;24.25;103.55;342.1;468.45;68.0;120.35;19.956;53.4;8.456;9.982;167.2;24.83;1.8662;14.018;12.655;13.81;74.3;73.68;22.72;5.709;4.4595;72.06;203.4;118.48;54.5;63.43;28.78;61.32;104.28;144.66;219.1;46.835;111.14;258.0;15.234;26.99;48.58;124.8
159.0;242.2;89.32;4.98;4.0115;169.04;35.325;7.394;46.875;103.8181818181818;22.2;41.73;71.7;24.52;105.9;349.5;471.4;68.58;120.75;20.025;53.6;8.604;9.89;170.1;24.89;1.85;13.868;12.945;13.9;74.35;73.71;22.42;5.726;4.429;72.3;202.3;118.7;53.98;63.02;28.68;61.06;104.48;142.78;218.4;46.69;111.96;257.4;15.296;27.075;48.05;125.25
157.4;242.1;89.14;4.9445;3.9705;169.9;35.25;7.398;47.24;103.8181818181818;22.17;41.005;71.58;24.11;105.7;350.35;470.95;69.4;119.95;20.21;53.8;8.778;9.803;173.7;24.92;1.8264;13.9;12.99;13.625;74.25;75.02;22.305;5.806;4.4145;71.94;202.15;117.96;53.29;62.34;28.46;60.88;103.58;141.84;219.1;45.955;111.38;260.5;15.354;26.985;47.315;125.25
160.2;245.1;90.28;4.923;3.9645;173.8;35.43;7.47;47.795;106.2727272727273;22.4;40.815;72.26;24.44;107.0;357.05;479.6;71.4;122.35;20.42;54.0;8.87;9.855;175.1;25.08;1.8328;13.96;13.215;13.725;75.47;78.32;22.105;5.891;4.4425;73.16;204.3;120.92;52.87;62.32;28.57;61.28;104.24;141.88;221.1;45.9;113.72;265.25;15.388;27.32;47.605;126.35
159.4;245.2;90.54;5.068;4.0375;175.0;36.035;7.459;48.25;105.5454545454545;22.42;41.48;72.6;24.55;106.8;358.2;481.75;71.36;123.3;20.365;54.2;8.818;10.074;;25.43;1.8458;14.0;13.1;13.765;75.7;77.3;22.27;5.828;4.371;74.02;;121.06;;;28.67;;;;;;;;;;;
159.2;245.6;90.66;5.0;4.008;177.38;36.195;7.527;48.27;106.5454545454545;22.655;41.555;72.38;24.2;106.75;359.6;490.6;71.3;124.75;20.37;54.2;8.798;10.13;176.5;25.28;1.8472;14.046;13.07;13.85;75.97;76.1;22.3;5.848;4.5255;74.32;206.5;123.4;53.85;62.98;28.86;62.78;105.56;143.74;220.3;46.775;113.18;262.1;15.328;27.375;48.47;126.95
159.1;247.2;90.16;4.9385;3.9725;175.0;36.525;7.591;46.95;107.5454545454545;22.6;41.14;72.4;24.51;105.5;356.8;487.15;69.34;124.15;20.145;55.0;8.89;10.024;178.35;25.02;1.828;13.82;13.005;13.86;76.93;76.57;21.845;5.89;4.4845;74.44;206.25;122.28;53.31;62.64;27.93;61.95;105.02;142.36;221.8;45.315;113.32;256.8;15.47;27.37;48.09;126.95
158.95;247.4;89.58;4.9145;3.9805;175.0;36.9;7.489;46.98;107.4545454545455;22.685;41.1;72.66;24.47;104.65;355.25;485.0;69.68;123.25;20.415;54.6;8.9;9.927;179.65;25.11;1.842;13.904;12.81;13.89;76.35;75.98;21.48;5.991;4.45;75.08;207.6;122.66;53.63;62.78;28.58;61.64;105.18;142.8;222.1;46.135;114.44;259.3;15.46;27.44;48.175;125.75
157.85;248.0;89.58;4.8785;3.9545;171.04;36.665;7.444;47.25;107.9545454545454;22.61;40.86;72.52;24.48;106.4;354.0;486.45;68.1;122.9;20.575;54.6;8.958;9.821;180.6;25.0;1.8374;13.944;12.955;13.82;75.38;75.98;21.235;6.07;4.386;75.06;207.4;122.42;52.85;62.46;28.36;60.48;104.02;141.24;221.6;46.13;113.54;260.6;15.39;27.38;47.42;125.7
160.1;249.3;89.9;4.8665;3.96;170.4;37.06;7.384;47.15;107.5909090909091;22.925;40.755;72.84;24.63;106.75;358.3;494.25;67.28;124.9;20.565;54.4;8.9;9.873;181.1;24.88;1.831;13.87;12.825;13.785;74.93;75.47;21.13;6.08;4.4;75.04;208.15;125.0;52.53;62.1;28.21;59.98;103.42;140.72;222.7;46.465;114.62;262.8;15.354;27.36;47.315;124.75
162.95;252.9;91.6;4.902;4.0125;173.64;37.67;7.362;48.19;110.0909090909091;23.12;41.495;74.1;24.77;110.0;368.8;514.2;68.94;129.0;20.965;55.2;9.068;10.07;182.4;24.96;1.8734;14.156;13.43;14.11;77.39;77.47;21.57;6.237;4.4475;77.44;211.05;125.46;54.07;63.61;28.65;61.59;105.8;143.32;225.0;47.97;118.16;273.3;15.578;28.015;48.66;126.5
162.35;254.2;92.68;5.01;4.06;174.98;37.85;7.358;48.315;109.8181818181818;23.18;42.225;74.3;24.55;111.6;366.0;508.2;68.48;131.7;20.72;54.4;8.91;10.238;178.25;25.0;1.9072;14.222;13.5;14.0;77.86;77.88;22.05;6.17;4.4665;77.26;211.7;123.0;55.03;64.2;28.41;62.2;106.28;145.36;223.7;48.365;116.98;267.1;15.52;27.93;49.2;126.3
163.75;255.6;92.68;4.939;4.014;178.38;38.28;7.323;48.69;109.7727272727273;23.115;41.42;74.88;24.87;112.6;370.0;513.0;69.66;132.45;20.89;54.0;8.904;9.951;179.15;24.93;1.8908;14.358;13.445;13.975;78.96;78.33;21.725;6.19;4.55;78.3;211.85;123.46;55.49;64.56;28.85;62.54;106.46;146.9;223.6;48.75;118.72;269.25;15.454;28.335;49.37;125.4
162.8;255.3;91.04;4.9175;4.0005;178.7;38.045;7.264;49.115;111.2272727272727;23.255;41.05;74.8;24.73;111.2;368.3;516.2;69.58;131.85;20.975;53.8;8.95;9.859;179.25;25.47;1.875;14.606;13.5;13.925;79.79;77.68;22.05;6.232;;78.9;212.7;122.78;54.82;64.44;28.51;62.69;105.74;147.18;225.4;48.19;118.5;268.8;15.412;28.39;49.62;126.8
163.5;255.4;91.7;4.917;3.9835;177.68;37.755;7.258;49.0;110.8636363636364;23.3;40.76;75.2;24.94;110.4;371.25;518.0;68.34;131.45;20.325;54.2;8.944;9.793;178.65;25.49;1.8748;14.522;13.435;13.915;79.39;77.12;21.565;6.225;4.4245;78.28;212.9;123.26;55.34;63.64;28.08;62.05;106.06;147.0;224.7;47.36;118.82;265.45;15.356;28.33;47.76;126.15
163.0;254.1;92.06;4.878;3.9985;177.34;37.88;7.278;48.945;110.8181818181818;23.12;40.46;75.28;24.78;109.8;371.7;510.6;67.98;131.55;19.694;54.6;8.886;9.73;178.5;25.24;1.8684;14.44;13.365;13.88;78.23;77.05;21.425;6.201;4.3745;78.06;212.0;125.18;55.32;63.15;28.4;61.74;104.8;145.92;223.4;47.61;118.46;263.2;15.356;28.105;47.59;126.85
162.25;250.0;90.38;4.8945;4.0505;179.0;37.73;7.297;49.52;109.7272727272727;23.155;41.165;74.7;24.46;109.15;367.6;510.2;68.26;130.8;19.504;53.4;8.82;9.998;177.3;25.5;1.8778;14.508;13.25;13.875;77.34;75.92;21.765;6.075;4.395;78.64;212.6;125.54;55.99;64.57;28.53;62.12;103.74;147.5;223.4;47.16;118.5;270.9;15.27;28.24;48.115;124.8
161.4;248.0;89.74;4.903;4.036;179.7;38.0;7.214;49.125;110.6818181818182;23.0;41.445;74.7;23.81;113.6;368.35;515.6;68.7;128.35;19.658;53.6;8.776;10.186;174.95;26.31;1.8786;14.466;13.15;13.83;76.47;75.68;21.99;6.084;4.35;78.98;210.65;123.88;60.86;64.85;28.55;63.08;103.54;147.18;220.8;47.88;118.0;265.7;15.17;28.36;48.295;123.5
162.05;250.5;90.06;4.917;4.0805;183.74;38.185;7.221;49.275;111.8636363636363;23.1;41.765;74.5;24.21;114.75;374.3;520.1;69.66;128.85;19.778;53.4;8.766;10.196;176.65;26.45;1.882;14.606;13.34;13.865;77.84;75.91;22.22;6.14;4.366;79.76;212.0;124.68;60.94;65.09;28.69;63.92;104.6;148.22;220.7;47.68;120.76;271.5;15.212;28.9;48.925;124.4
162.85;249.3;90.46;4.9735;4.119;189.36;38.935;7.273;49.775;111.5;23.24;42.085;74.24;24.51;113.6;374.6;525.1;71.44;129.15;19.888;53.8;8.74;10.228;178.8;26.45;1.8676;14.64;13.44;13.855;78.3;76.83;22.23;6.126;4.405;80.74;214.2;124.3;61.31;65.1;29.19;63.96;106.0;150.0;222.7;48.625;122.26;274.35;15.238;29.2;48.81;127.9
161.4;254.0;90.48;4.93;4.108;189.7;39.175;7.308;49.59;111.7727272727273;23.51;41.865;74.9;24.74;114.15;377.5;526.6;71.14;130.05;19.99;54.35;8.886;10.164;178.85;26.53;1.885;14.498;13.67;13.845;79.92;77.09;22.14;6.26;4.445;80.34;216.0;123.96;60.53;65.33;29.4;62.73;105.0;151.0;226.0;48.08;123.5;273.8;15.226;29.23;48.645;128.7
165.0;256.9;92.38;5.027;4.18;189.7;39.52;7.32;49.115;112.4090909090909;23.68;42.57;75.64;24.94;114.7;380.0;526.7;71.28;131.45;20.3;55.1;9.002;10.298;179.7;26.87;1.9808;14.568;13.895;13.84;83.21;78.24;22.335;6.408;4.4865;80.68;216.8;125.64;61.01;66.61;29.66;62.58;105.38;153.62;228.1;48.155;124.38;278.65;15.366;29.455;49.02;129.4
163.55;255.3;92.02;5.087;4.2175;189.1;39.6;7.428;49.455;111.5909090909091;23.73;43.045;75.68;24.89;114.4;381.35;527.1;71.4;131.2;20.375;54.94;8.732;10.408;178.75;27.08;2.026;14.646;13.83;13.985;82.72;77.97;22.415;6.447;4.497;81.0;217.2;125.38;60.92;67.11;30.27;62.68;105.54;154.64;227.7;48.13;123.76;278.25;15.52;29.68;49.035;129.8
161.5;252.7;91.24;5.078;4.2205;185.72;39.485;7.394;49.415;111.3636363636364;23.79;43.405;74.94;24.91;114.2;380.8;522.2;70.72;130.75;20.265;54.78;8.63;10.498;180.05;27.2;2.032;14.55;13.765;13.96;82.5;77.8;22.81;6.4;4.4805;77.7;217.15;124.58;60.71;67.05;29.89;62.56;102.44;154.6;226.5;47.765;122.82;277.15;15.46;29.59;49.12;128.5
161.65;254.6;90.8;4.985;4.1845;185.82;39.46;7.386;49.7;111.5909090909091;23.795;42.97;75.24;24.95;114.65;383.0;523.7;71.44;129.65;20.225;54.82;8.592;10.292;180.6;27.19;2.0175;14.654;13.8;13.915;82.31;76.97;22.555;6.41;4.466;78.02;218.05;123.92;60.03;66.7;29.42;62.59;101.48;154.8;227.5;47.465;123.2;280.0;15.448;29.505;48.58;128.45
